涉及疾病,涉及疾病的编号,疾病描述
Leigh syndrome,H01354,"Leigh syndrome is a severe neurological disorder, characterized by bilaterally symmetrical necrotic lesions in the basal ganglia and brainstem. Most frequently the central nervous system is affected, with psychomotor retardation, seizures, nystagmus, optic atrophy, ataxia, or respiratory failure. Some patients also present with peripheral nervous system involvement or non-neurologic abnormalities. In the majority of cases, dysfunction of the mitochondrial respiratory chain complex or of the pyruvate dehydrogenase complex are responsible for the disease. Patterns of inheritance include X-linked recessive, autosomal recessive, and mitochondrial."
Cytochrome c oxidase (COX) deficiency,H01368,"Cytochrome c oxidase (COX) deficiency is a mitochondrial disease that is caused by the lack of the COX. Cytochrome c oxidase (COX) is the terminal enzyme of the mitochondrial respiratory chain (complex IV). Since COX is encoded by nuclear and mitochondrial genes, COX deficiency can be inherited in either an autosomal recessive or a maternal pattern. Patients can present with a number of different clinical phenotypes, including Leigh syndrome, Fatal infantile cardioencephalomyopathy, and Leber hereditary optic neuropathy."
Microphthalmia with linear skin defects syndrome,H01904,"Microphthalmia with linear skin defects (MLS) syndrome is an X-linked male-lethal disorder, also known as MIDAS syndrome (microphthalmia, dermal aplasia, and sclerocornea), or Linear skin defects with multiple congenital anomalies (LSDMCA). Distinctive linear skin defects are usually limited to the face and neck with areas of aplastic skin. Additional features include facial dysmorphisms, sclerocornea, corneal opacities, agenesis of the corpus callosum, ventriculomegaly, microcephaly, intellectual disability, seizures, and cardiac anomalies. The clinical manifestations vary among affected individuals. Mutations in HCCS, COX7B, and NDUFB11, that encode crucial components of the mitochondrial respiratory chain (MRC), have been identified in MLS-affected females."
Diseases of the tricarboxylic acid cycle,H01022,"Diseases of the tricarboxylic acid cycle (TCA cycle) constitute a group of rare human diseases that affect core mitochondrial metabolism. The Fumarase deficiency is caused by impairment of the fumarate hydratase enzyme. The symptoms of the disorder include developmental delay, severe mental retardation, language impairment, seizures and dysmorphic facial features. The succinate dehydrogenase deficiency [DS: H02005 ] affects mitochondrial complex II, which links the TCA cycle with the electron transport chain. The phenotype is highly variable and can include Leigh syndrome, leukodystrophy, cardiomyopathy and mental and motor skill deterioration. The alpha-ketoglutarate dehydrogenase deficiency is extremely rare and characterised by encephalopathy and hyperlactatemia resulting in death in early childhood."
Mitochondrial complex II deficiency,H02005,"Mitochondrial complex II (CII, succinate dehydrogenase complex) deficiency is a rare cause of mitochondrial respiratory chain defects. CII functions in the TCA cycle and in the mitochondrial electron transport chain (ETC). Four structural subunits (SDHA, SDHB, SDHC and SDHD) and two known assembly factor genes (SDHAF1 and SDHAF2) are all nuclear-encoded. Mutations in SDHA, SDHD, and SDHAF1 have been found in patients. CII deficiency has a variable phenotype. Brain imaging is abnormal in majority of the patients and consists of leukoencephalopathy, Leigh syndrome or cerebellar atrophy."
Paraganglioma,H02538,Paragangliomas (PGLs) are rare neuroendocrine tumors that arise in sympathetic and parasympathetic paraganglia and derive from neural crest cells. The pathogenesis and progression of PGLs are very strongly influenced by genetics.
Cowden syndrome,H01222,"Cowden syndrome (CS) is an autosomal dominant inherited cancer syndrome characterized by benign and malignant breast, thyroid, and endometrial neoplasias in addition to cutaneous findings and macrocephaly. Germ line PTEN mutations have been found in 85% of those with CS. A large heterogeneous group of individuals with Cowden-like syndrome, who have various combinations of Cowden syndrome features but who do not meet Cowden syndrome diagnostic criteria, have PTEN mutations less than 10% of the time. In the absence of germline PTEN mutations, approximately 10% of individuals with Cowden syndrome or Cowden-like syndrome harbor germline succinate dehydrogenase variants SDHB and SDHD."
Malignant paraganglioma,H01510,"Paragangliomas (PGLs) are rare neuroendocrine tumors that arise in sympathetic and parasympathetic paraganglia and derive from neural crest cells. Malignancy is defined by presence of metastases, tumor spread in sites where chromaffin tissue is normally absent such as lymph nodes, liver, lungs, and bones. Malignant PGLs are extremely rare. The pathogenesis and progression of PGLs are very strongly influenced by genetics. A germline mutation in one of the susceptibility genes identified so far explains ~40% of all cases; the remaining 60% are thought to be sporadic cases. Sporadic as well as hereditary PGLs have been divided in two main clusters linked to two different signalling pathways: the first cluster contains all VHL-, SDHx-, and FH- mutated tumors and is associated to the activation of hypoxic pathway, while the second cluster contains all RET- , NF1-, MAX and TMEM127- mutated tumors and is associated to the activation of MAPK and mTOR (mammalian target of rapamycin) signaling pathways."
Gastrotintestinal stromal tumor,H01591,"Gastrointestinal stromal tumors (GISTs) are the most common mesenchymal tumors of the GI tract, arising from the interstitial cells of Cajal, or their precursor stem cells. GISTs account for about 80% of gastrointestinal sarcomas, with a mean annual incidence of 10-15 per million. Nearly 50-70% of the clinically apparent tumors arise in the stomach, 20-30% arise in the small intestine, 5-15% in the large intestine, and less than 5% in other locations. The genetic basis of GIST growth is a mutation of the KIT or PDGFRA gene leading to constitutional activation of receptor tyrosine kinases, which is the driving force behind tumor development."
Carcinoid,H00034,"Carcinoid tumors are relatively uncommon neoplasms that nonetheless comprise up to 85% of neuroendocrine gastrointestinal neoplasms. They most frequently occur in the midgut and develop from neuroendocrine cells that are normally and diffusely present in this location. Most carcinoids are sporadic but epidemiological studies report a familial risk. Moreover, carcinoids can occur within the multiple endocrine neoplasia (MEN) syndrome, a rare familiar tumor syndrome in which mutations in the MEN1 gene are manifested. Recently, it has been shown that a majority (78%) of sporadic carcinoids display loss of heterozygosity for markers around the MEN 1 region, thus suggesting involvement of this gene in the pathogenesis of both familial and sporadic carcinoids."
"Exocrine pancreatic insufficiency, dyserythropoietic anemia, and calvarial hyperostosis",H00920,"Patients with this disease suffer from exocrine pancreatic insufficiency, dyserythropoietic anemia, and calvarial hyperostosis. Mutations in COX4I2, an essential component of cytochrome c oxidase complex expressed in acinar cells, lead to failure to absorb fat and deficiency of fat-soluble vitamins."
Complex cortical dysplasia with other brain malformations,H01881,"Complex cortical dysplasia with other brain malformations (CDCBM) is a disorder of aberrant neuronal migration and disturbed axonal guidance. Patients exhibit mental retardation, strabismus combined with nystagmus, axial hypotonia, and spasticity. The severity of mental retardation ranged from mild to severe. Complex cortical malformations associated with mutations in tubulin and motor proteins of the kinesin genes have been reported."
