涉及疾病,涉及疾病的编号,涉及疾病的通路,通路编号
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Kearns-Sayre syndrome,H01355,Oxidative phosphorylation,hsa00190
Kearns-Sayre syndrome,H01355,Retrograde endocannabinoid signaling,hsa04723
Kearns-Sayre syndrome,H01355,Cardiac muscle contraction,hsa04260
Leber hereditary optic neuropathy and dystonia,H01365,Oxidative phosphorylation,hsa00190
Leber hereditary optic atrophy; Leber optic atrophy,H00068,Oxidative phosphorylation,hsa00190
Leber hereditary optic atrophy; Leber optic atrophy,H00068,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Kearns-Sayre syndrome,H01355,Oxidative phosphorylation,hsa00190
Kearns-Sayre syndrome,H01355,Retrograde endocannabinoid signaling,hsa04723
Kearns-Sayre syndrome,H01355,Cardiac muscle contraction,hsa04260
Leber hereditary optic neuropathy and dystonia,H01365,Oxidative phosphorylation,hsa00190
Leber hereditary optic atrophy; Leber optic atrophy,H00068,Oxidative phosphorylation,hsa00190
Leber hereditary optic atrophy; Leber optic atrophy,H00068,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
"MELAS syndrome; Mitochondrial myopathy, Encephalopathy, Lactic Acidosis, Stroke-like episodes",H01347,Aminoacyl-tRNA biosynthesis,hsa00970
"MELAS syndrome; Mitochondrial myopathy, Encephalopathy, Lactic Acidosis, Stroke-like episodes",H01347,Oxidative phosphorylation,hsa00190
Kearns-Sayre syndrome,H01355,Oxidative phosphorylation,hsa00190
Kearns-Sayre syndrome,H01355,Retrograde endocannabinoid signaling,hsa04723
Kearns-Sayre syndrome,H01355,Cardiac muscle contraction,hsa04260
Myoclonic Epilepsy and Ragged-Red Fiber Disease; MERRF syndrome; Fukuhara syndrome,H01356,Aminoacyl-tRNA biosynthesis,hsa00970
Myoclonic Epilepsy and Ragged-Red Fiber Disease; MERRF syndrome; Fukuhara syndrome,H01356,Oxidative phosphorylation,hsa00190
Leber hereditary optic atrophy; Leber optic atrophy,H00068,Oxidative phosphorylation,hsa00190
Leber hereditary optic atrophy; Leber optic atrophy,H00068,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
"MELAS syndrome; Mitochondrial myopathy, Encephalopathy, Lactic Acidosis, Stroke-like episodes",H01347,Aminoacyl-tRNA biosynthesis,hsa00970
"MELAS syndrome; Mitochondrial myopathy, Encephalopathy, Lactic Acidosis, Stroke-like episodes",H01347,Oxidative phosphorylation,hsa00190
Kearns-Sayre syndrome,H01355,Oxidative phosphorylation,hsa00190
Kearns-Sayre syndrome,H01355,Retrograde endocannabinoid signaling,hsa04723
Kearns-Sayre syndrome,H01355,Cardiac muscle contraction,hsa04260
Leber hereditary optic neuropathy and dystonia,H01365,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Leigh syndrome,H01354,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Leigh syndrome,H01354,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Leigh syndrome,H01354,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Leigh syndrome,H01354,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Leigh syndrome,H01354,Oxidative phosphorylation,hsa00190
Cytochrome c oxidase (COX) deficiency; Mitochondrial complex IV deficiency (MT-C4D),H01368,Thermogenesis,hsa04714
Cytochrome c oxidase (COX) deficiency; Mitochondrial complex IV deficiency (MT-C4D),H01368,Oxidative phosphorylation,hsa00190
Cytochrome c oxidase (COX) deficiency; Mitochondrial complex IV deficiency (MT-C4D),H01368,Porphyrin metabolism,hsa00860
Cytochrome c oxidase (COX) deficiency; Mitochondrial complex IV deficiency (MT-C4D),H01368,Cardiac muscle contraction,hsa04260
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Leigh syndrome,H01354,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Leigh syndrome,H01354,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Leigh syndrome,H01354,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Microphthalmia with linear skin defects syndrome; Linear skin defects with multiple congenital anomalies; MIDAS syndrome,H01904,Oxidative phosphorylation,hsa00190
Microphthalmia with linear skin defects syndrome; Linear skin defects with multiple congenital anomalies; MIDAS syndrome,H01904,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Dilated cardiomyopathy,H00294,Calcium signaling pathway,hsa04020
Dilated cardiomyopathy,H00294,Cytoskeleton in muscle cells,hsa04820
Diseases of the tricarboxylic acid cycle,H01022,Citrate cycle (TCA cycle),hsa00020
Leigh syndrome,H01354,Oxidative phosphorylation,hsa00190
Mitochondrial complex II deficiency; Succinate dehydrogenase deficiency; Succinate CoQ reductase deficiency,H02005,Citrate cycle (TCA cycle),hsa00020
Mitochondrial complex II deficiency; Succinate dehydrogenase deficiency; Succinate CoQ reductase deficiency,H02005,Oxidative phosphorylation,hsa00190
Mitochondrial complex II deficiency; Succinate dehydrogenase deficiency; Succinate CoQ reductase deficiency,H02005,Thermogenesis,hsa04714
Paraganglioma,H02538,Citrate cycle (TCA cycle),hsa00020
Paraganglioma,H02538,Oxidative phosphorylation,hsa00190
Cowden syndrome,H01222,PI3K-Akt signaling pathway,hsa04151
Malignant paraganglioma; Pheochromocytoma,H01510,MAPK signaling pathway,hsa04010
Gastrotintestinal stromal tumor,H01591,Phospholipase D signaling pathway,hsa04072
Gastrotintestinal stromal tumor,H01591,PI3K-Akt signaling pathway,hsa04151
Gastrotintestinal stromal tumor,H01591,Oxidative phosphorylation,hsa00190
Gastrotintestinal stromal tumor,H01591,Citrate cycle (TCA cycle),hsa00020
Mitochondrial complex II deficiency; Succinate dehydrogenase deficiency; Succinate CoQ reductase deficiency,H02005,Citrate cycle (TCA cycle),hsa00020
Mitochondrial complex II deficiency; Succinate dehydrogenase deficiency; Succinate CoQ reductase deficiency,H02005,Oxidative phosphorylation,hsa00190
Mitochondrial complex II deficiency; Succinate dehydrogenase deficiency; Succinate CoQ reductase deficiency,H02005,Thermogenesis,hsa04714
Paraganglioma,H02538,Citrate cycle (TCA cycle),hsa00020
Paraganglioma,H02538,Oxidative phosphorylation,hsa00190
Malignant paraganglioma; Pheochromocytoma,H01510,MAPK signaling pathway,hsa04010
Gastrotintestinal stromal tumor,H01591,Phospholipase D signaling pathway,hsa04072
Gastrotintestinal stromal tumor,H01591,PI3K-Akt signaling pathway,hsa04151
Gastrotintestinal stromal tumor,H01591,Oxidative phosphorylation,hsa00190
Gastrotintestinal stromal tumor,H01591,Citrate cycle (TCA cycle),hsa00020
Paraganglioma,H02538,Citrate cycle (TCA cycle),hsa00020
Paraganglioma,H02538,Oxidative phosphorylation,hsa00190
Cowden syndrome,H01222,PI3K-Akt signaling pathway,hsa04151
Malignant paraganglioma; Pheochromocytoma,H01510,MAPK signaling pathway,hsa04010
Mitochondrial complex II deficiency; Succinate dehydrogenase deficiency; Succinate CoQ reductase deficiency,H02005,Citrate cycle (TCA cycle),hsa00020
Mitochondrial complex II deficiency; Succinate dehydrogenase deficiency; Succinate CoQ reductase deficiency,H02005,Oxidative phosphorylation,hsa00190
Mitochondrial complex II deficiency; Succinate dehydrogenase deficiency; Succinate CoQ reductase deficiency,H02005,Thermogenesis,hsa04714
Paraganglioma,H02538,Citrate cycle (TCA cycle),hsa00020
Paraganglioma,H02538,Oxidative phosphorylation,hsa00190
Cerebral amyloid angiopathy; Hereditary cerebral hemorrhage with amyloidosis,H01185,Serotonergic synapse,hsa04726
Leber hereditary optic atrophy; Leber optic atrophy,H00068,Oxidative phosphorylation,hsa00190
Leber hereditary optic atrophy; Leber optic atrophy,H00068,Retrograde endocannabinoid signaling,hsa04723
Kearns-Sayre syndrome,H01355,Oxidative phosphorylation,hsa00190
Kearns-Sayre syndrome,H01355,Retrograde endocannabinoid signaling,hsa04723
Kearns-Sayre syndrome,H01355,Cardiac muscle contraction,hsa04260
Cytochrome c oxidase (COX) deficiency; Mitochondrial complex IV deficiency (MT-C4D),H01368,Thermogenesis,hsa04714
Cytochrome c oxidase (COX) deficiency; Mitochondrial complex IV deficiency (MT-C4D),H01368,Oxidative phosphorylation,hsa00190
Cytochrome c oxidase (COX) deficiency; Mitochondrial complex IV deficiency (MT-C4D),H01368,Porphyrin metabolism,hsa00860
Cytochrome c oxidase (COX) deficiency; Mitochondrial complex IV deficiency (MT-C4D),H01368,Cardiac muscle contraction,hsa04260
Leber hereditary optic atrophy; Leber optic atrophy,H00068,Oxidative phosphorylation,hsa00190
Leber hereditary optic atrophy; Leber optic atrophy,H00068,Retrograde endocannabinoid signaling,hsa04723
Cytochrome c oxidase (COX) deficiency; Mitochondrial complex IV deficiency (MT-C4D),H01368,Thermogenesis,hsa04714
Cytochrome c oxidase (COX) deficiency; Mitochondrial complex IV deficiency (MT-C4D),H01368,Oxidative phosphorylation,hsa00190
Cytochrome c oxidase (COX) deficiency; Mitochondrial complex IV deficiency (MT-C4D),H01368,Porphyrin metabolism,hsa00860
Cytochrome c oxidase (COX) deficiency; Mitochondrial complex IV deficiency (MT-C4D),H01368,Cardiac muscle contraction,hsa04260
Cytochrome c oxidase (COX) deficiency; Mitochondrial complex IV deficiency (MT-C4D),H01368,Thermogenesis,hsa04714
Cytochrome c oxidase (COX) deficiency; Mitochondrial complex IV deficiency (MT-C4D),H01368,Oxidative phosphorylation,hsa00190
Cytochrome c oxidase (COX) deficiency; Mitochondrial complex IV deficiency (MT-C4D),H01368,Porphyrin metabolism,hsa00860
Cytochrome c oxidase (COX) deficiency; Mitochondrial complex IV deficiency (MT-C4D),H01368,Cardiac muscle contraction,hsa04260
Cytochrome c oxidase (COX) deficiency; Mitochondrial complex IV deficiency (MT-C4D),H01368,Thermogenesis,hsa04714
Cytochrome c oxidase (COX) deficiency; Mitochondrial complex IV deficiency (MT-C4D),H01368,Oxidative phosphorylation,hsa00190
Cytochrome c oxidase (COX) deficiency; Mitochondrial complex IV deficiency (MT-C4D),H01368,Porphyrin metabolism,hsa00860
Cytochrome c oxidase (COX) deficiency; Mitochondrial complex IV deficiency (MT-C4D),H01368,Cardiac muscle contraction,hsa04260
"Exocrine pancreatic insufficiency, dyserythropoietic anemia, and calvarial hyperostosis",H00920,Oxidative phosphorylation,hsa00190
Cytochrome c oxidase (COX) deficiency; Mitochondrial complex IV deficiency (MT-C4D),H01368,Thermogenesis,hsa04714
