涉及疾病,涉及疾病的编号,网络,网络ID
Complex cortical dysplasia with other brain malformations,H01881,Regulation of kinetochore-microtubule interactions,nt06515
Alzheimer disease,H00056,Alzheimer disease,nt06460
Alzheimer disease,H00056,Pathways of neurodegeneration,nt06466
Alzheimer disease,H00056,Unfolded protein response,nt06534
Alzheimer disease,H00056,Efferocytosis,nt06535
Hereditary spastic paraplegia,H00266,Cytoskeleton in muscle cells,nt06539
Lissencephaly,H00268,Regulation of kinetochore-microtubule interactions,nt06515
Parkinson disease,H00057,Dopamine and serotonin metabolism,nt06028
Parkinson disease,H00057,Parkinson disease,nt06463
Parkinson disease,H00057,Pathways of neurodegeneration,nt06466
Parkinson disease,H00057,Unfolded protein response,nt06534
Parkinson disease,H00057,Efferocytosis,nt06535
Parkinson disease,H00057,Mitophagy,nt06536
Amyotrophic lateral sclerosis (ALS),H00058,Amyotrophic lateral sclerosis,nt06464
Amyotrophic lateral sclerosis (ALS),H00058,Pathways of neurodegeneration,nt06466
Amyotrophic lateral sclerosis (ALS),H00058,Regulation of kinetochore-microtubule interactions,nt06515
Amyotrophic lateral sclerosis (ALS),H00058,PI3K signaling,nt06530
Amyotrophic lateral sclerosis (ALS),H00058,Autophagy,nt06532
Amyotrophic lateral sclerosis (ALS),H00058,Unfolded protein response,nt06534
Amyotrophic lateral sclerosis (ALS),H00058,Mitophagy,nt06536
Lissencephaly,H00268,Regulation of kinetochore-microtubule interactions,nt06515
Keratoconus,H00789,Regulation of kinetochore-microtubule interactions,nt06515
Amyotrophic lateral sclerosis (ALS),H00058,Amyotrophic lateral sclerosis,nt06464
Amyotrophic lateral sclerosis (ALS),H00058,Pathways of neurodegeneration,nt06466
Amyotrophic lateral sclerosis (ALS),H00058,Regulation of kinetochore-microtubule interactions,nt06515
Amyotrophic lateral sclerosis (ALS),H00058,PI3K signaling,nt06530
Amyotrophic lateral sclerosis (ALS),H00058,Autophagy,nt06532
Amyotrophic lateral sclerosis (ALS),H00058,Unfolded protein response,nt06534
Amyotrophic lateral sclerosis (ALS),H00058,Mitophagy,nt06536
Macrothrombocytopenia,H01740,Coagulation cascade,nt06514
Macrothrombocytopenia,H01740,Regulation of kinetochore-microtubule interactions,nt06515
Congenital symmetric circumferential skin creases,H01579,Regulation of kinetochore-microtubule interactions,nt06515
Complex cortical dysplasia with other brain malformations,H01881,Regulation of kinetochore-microtubule interactions,nt06515
Macrothrombocytopenia,H01740,Coagulation cascade,nt06514
Macrothrombocytopenia,H01740,Regulation of kinetochore-microtubule interactions,nt06515
Complex cortical dysplasia with other brain malformations,H01881,Regulation of kinetochore-microtubule interactions,nt06515
Complex cortical dysplasia with other brain malformations,H01881,Regulation of kinetochore-microtubule interactions,nt06515
Congenital fibrosis of the extraocular muscles,H00838,Regulation of kinetochore-microtubule interactions,nt06515
Complex cortical dysplasia with other brain malformations,H01881,Regulation of kinetochore-microtubule interactions,nt06515
Hypomyelinating leukodystrophy,H00679,Regulation of kinetochore-microtubule interactions,nt06515
Hypomyelinating leukodystrophy,H00679,Autophagy,nt06532
Hypomyelinating leukodystrophy,H00679,Efferocytosis,nt06535
Primary dystonia,H00831,Regulation of kinetochore-microtubule interactions,nt06515
Primary dystonia,H00831,Autophagy,nt06532
Primary dystonia,H00831,Efferocytosis,nt06535
Primary dystonia,H00831,Cytoskeleton in muscle cells,nt06539
Leber congenital amaurosis,H00837,Regulation of kinetochore-microtubule interactions,nt06515
Congenital facial palsy with ptosis and velopharyngeal dysfunction,H02594,Regulation of kinetochore-microtubule interactions,nt06515
Oocyte/zygote/embryo maturation arrest,H01897,Regulation of kinetochore-microtubule interactions,nt06515
Oocyte/zygote/embryo maturation arrest,H01897,Efferocytosis,nt06535
Parkinson disease,H00057,Dopamine and serotonin metabolism,nt06028
Parkinson disease,H00057,Parkinson disease,nt06463
Parkinson disease,H00057,Pathways of neurodegeneration,nt06466
Parkinson disease,H00057,Unfolded protein response,nt06534
Parkinson disease,H00057,Efferocytosis,nt06535
Parkinson disease,H00057,Mitophagy,nt06536
Amyotrophic lateral sclerosis (ALS),H00058,Amyotrophic lateral sclerosis,nt06464
Amyotrophic lateral sclerosis (ALS),H00058,Pathways of neurodegeneration,nt06466
Amyotrophic lateral sclerosis (ALS),H00058,Regulation of kinetochore-microtubule interactions,nt06515
Amyotrophic lateral sclerosis (ALS),H00058,PI3K signaling,nt06530
Amyotrophic lateral sclerosis (ALS),H00058,Autophagy,nt06532
Amyotrophic lateral sclerosis (ALS),H00058,Unfolded protein response,nt06534
Amyotrophic lateral sclerosis (ALS),H00058,Mitophagy,nt06536
Lissencephaly,H00268,Regulation of kinetochore-microtubule interactions,nt06515
Keratoconus,H00789,Regulation of kinetochore-microtubule interactions,nt06515
Amyotrophic lateral sclerosis (ALS),H00058,Amyotrophic lateral sclerosis,nt06464
Amyotrophic lateral sclerosis (ALS),H00058,Pathways of neurodegeneration,nt06466
Amyotrophic lateral sclerosis (ALS),H00058,Regulation of kinetochore-microtubule interactions,nt06515
Amyotrophic lateral sclerosis (ALS),H00058,PI3K signaling,nt06530
Amyotrophic lateral sclerosis (ALS),H00058,Autophagy,nt06532
Amyotrophic lateral sclerosis (ALS),H00058,Unfolded protein response,nt06534
Amyotrophic lateral sclerosis (ALS),H00058,Mitophagy,nt06536
Macrothrombocytopenia,H01740,Coagulation cascade,nt06514
Macrothrombocytopenia,H01740,Regulation of kinetochore-microtubule interactions,nt06515
Congenital symmetric circumferential skin creases,H01579,Regulation of kinetochore-microtubule interactions,nt06515
Complex cortical dysplasia with other brain malformations,H01881,Regulation of kinetochore-microtubule interactions,nt06515
Macrothrombocytopenia,H01740,Coagulation cascade,nt06514
Macrothrombocytopenia,H01740,Regulation of kinetochore-microtubule interactions,nt06515
Complex cortical dysplasia with other brain malformations,H01881,Regulation of kinetochore-microtubule interactions,nt06515
Complex cortical dysplasia with other brain malformations,H01881,Regulation of kinetochore-microtubule interactions,nt06515
Congenital fibrosis of the extraocular muscles,H00838,Regulation of kinetochore-microtubule interactions,nt06515
Complex cortical dysplasia with other brain malformations,H01881,Regulation of kinetochore-microtubule interactions,nt06515
Hypomyelinating leukodystrophy,H00679,Regulation of kinetochore-microtubule interactions,nt06515
Hypomyelinating leukodystrophy,H00679,Autophagy,nt06532
Hypomyelinating leukodystrophy,H00679,Efferocytosis,nt06535
Primary dystonia,H00831,Regulation of kinetochore-microtubule interactions,nt06515
Primary dystonia,H00831,Autophagy,nt06532
Primary dystonia,H00831,Efferocytosis,nt06535
Primary dystonia,H00831,Cytoskeleton in muscle cells,nt06539
Leber congenital amaurosis,H00837,Regulation of kinetochore-microtubule interactions,nt06515
Congenital facial palsy with ptosis and velopharyngeal dysfunction,H02594,Regulation of kinetochore-microtubule interactions,nt06515
Oocyte/zygote/embryo maturation arrest,H01897,Regulation of kinetochore-microtubule interactions,nt06515
Oocyte/zygote/embryo maturation arrest,H01897,Efferocytosis,nt06535
Lissencephaly,H00268,Regulation of kinetochore-microtubule interactions,nt06515
Parkinson disease,H00057,Dopamine and serotonin metabolism,nt06028
Parkinson disease,H00057,Parkinson disease,nt06463
Parkinson disease,H00057,Pathways of neurodegeneration,nt06466
Parkinson disease,H00057,Unfolded protein response,nt06534
Parkinson disease,H00057,Efferocytosis,nt06535
Parkinson disease,H00057,Mitophagy,nt06536
Amyotrophic lateral sclerosis (ALS),H00058,Amyotrophic lateral sclerosis,nt06464
Amyotrophic lateral sclerosis (ALS),H00058,Pathways of neurodegeneration,nt06466
Amyotrophic lateral sclerosis (ALS),H00058,Regulation of kinetochore-microtubule interactions,nt06515
Amyotrophic lateral sclerosis (ALS),H00058,PI3K signaling,nt06530
Amyotrophic lateral sclerosis (ALS),H00058,Autophagy,nt06532
Amyotrophic lateral sclerosis (ALS),H00058,Unfolded protein response,nt06534
Amyotrophic lateral sclerosis (ALS),H00058,Mitophagy,nt06536
Lissencephaly,H00268,Regulation of kinetochore-microtubule interactions,nt06515
Keratoconus,H00789,Regulation of kinetochore-microtubule interactions,nt06515
Amyotrophic lateral sclerosis (ALS),H00058,Amyotrophic lateral sclerosis,nt06464
Amyotrophic lateral sclerosis (ALS),H00058,Pathways of neurodegeneration,nt06466
Amyotrophic lateral sclerosis (ALS),H00058,Regulation of kinetochore-microtubule interactions,nt06515
Amyotrophic lateral sclerosis (ALS),H00058,PI3K signaling,nt06530
Amyotrophic lateral sclerosis (ALS),H00058,Autophagy,nt06532
Amyotrophic lateral sclerosis (ALS),H00058,Unfolded protein response,nt06534
Amyotrophic lateral sclerosis (ALS),H00058,Mitophagy,nt06536
Macrothrombocytopenia,H01740,Coagulation cascade,nt06514
Macrothrombocytopenia,H01740,Regulation of kinetochore-microtubule interactions,nt06515
Congenital symmetric circumferential skin creases,H01579,Regulation of kinetochore-microtubule interactions,nt06515
Complex cortical dysplasia with other brain malformations,H01881,Regulation of kinetochore-microtubule interactions,nt06515
Macrothrombocytopenia,H01740,Coagulation cascade,nt06514
Macrothrombocytopenia,H01740,Regulation of kinetochore-microtubule interactions,nt06515
Complex cortical dysplasia with other brain malformations,H01881,Regulation of kinetochore-microtubule interactions,nt06515
Complex cortical dysplasia with other brain malformations,H01881,Regulation of kinetochore-microtubule interactions,nt06515
Congenital fibrosis of the extraocular muscles,H00838,Regulation of kinetochore-microtubule interactions,nt06515
Complex cortical dysplasia with other brain malformations,H01881,Regulation of kinetochore-microtubule interactions,nt06515
Hypomyelinating leukodystrophy,H00679,Regulation of kinetochore-microtubule interactions,nt06515
Hypomyelinating leukodystrophy,H00679,Autophagy,nt06532
Hypomyelinating leukodystrophy,H00679,Efferocytosis,nt06535
Primary dystonia,H00831,Regulation of kinetochore-microtubule interactions,nt06515
Primary dystonia,H00831,Autophagy,nt06532
Primary dystonia,H00831,Efferocytosis,nt06535
Primary dystonia,H00831,Cytoskeleton in muscle cells,nt06539
Leber congenital amaurosis,H00837,Regulation of kinetochore-microtubule interactions,nt06515
Congenital facial palsy with ptosis and velopharyngeal dysfunction,H02594,Regulation of kinetochore-microtubule interactions,nt06515
Oocyte/zygote/embryo maturation arrest,H01897,Regulation of kinetochore-microtubule interactions,nt06515
Oocyte/zygote/embryo maturation arrest,H01897,Efferocytosis,nt06535
Spinocerebellar ataxia (SCA),H00063,Spinocerebellar ataxia,nt06462
Spinocerebellar ataxia (SCA),H00063,Pathways of neurodegeneration,nt06466
Spinocerebellar ataxia (SCA),H00063,Calcium signaling,nt06528
Spinocerebellar ataxia (SCA),H00063,Autophagy,nt06532
Charcot-Marie-Tooth disease,H00264,DNA replication,nt06509
Charcot-Marie-Tooth disease,H00264,Regulation of kinetochore-microtubule interactions,nt06515
Charcot-Marie-Tooth disease,H00264,Autophagy,nt06532
Charcot-Marie-Tooth disease,H00264,Mitophagy,nt06536
Charcot-Marie-Tooth disease,H00264,Cytoskeleton in muscle cells,nt06539
Parkinson disease,H00057,Dopamine and serotonin metabolism,nt06028
Parkinson disease,H00057,Parkinson disease,nt06463
Parkinson disease,H00057,Pathways of neurodegeneration,nt06466
Parkinson disease,H00057,Unfolded protein response,nt06534
Parkinson disease,H00057,Efferocytosis,nt06535
Parkinson disease,H00057,Mitophagy,nt06536
Parkinsonian syndrome,H01600,Mitophagy,nt06536
Spinocerebellar ataxia (SCA),H00063,Spinocerebellar ataxia,nt06462
Spinocerebellar ataxia (SCA),H00063,Pathways of neurodegeneration,nt06466
Spinocerebellar ataxia (SCA),H00063,Calcium signaling,nt06528
Spinocerebellar ataxia (SCA),H00063,Autophagy,nt06532
Isolated anhidrosis with normal sweat glands,H02281,Calcium signaling,nt06528
Charcot-Marie-Tooth disease,H00264,DNA replication,nt06509
Charcot-Marie-Tooth disease,H00264,Regulation of kinetochore-microtubule interactions,nt06515
Charcot-Marie-Tooth disease,H00264,Autophagy,nt06532
Charcot-Marie-Tooth disease,H00264,Mitophagy,nt06536
Charcot-Marie-Tooth disease,H00264,Cytoskeleton in muscle cells,nt06539
Type 1 diabetes mellitus,H00408,Hormone/cytokine signaling,nt06325
Parkinson disease,H00057,Dopamine and serotonin metabolism,nt06028
Parkinson disease,H00057,Parkinson disease,nt06463
Parkinson disease,H00057,Pathways of neurodegeneration,nt06466
Parkinson disease,H00057,Unfolded protein response,nt06534
Parkinson disease,H00057,Efferocytosis,nt06535
Parkinson disease,H00057,Mitophagy,nt06536
Parkinsonian syndrome,H01600,Mitophagy,nt06536
Mitochondrial DNA depletion syndrome,H00469,Base excision repair,nt06504
Mitochondrial DNA depletion syndrome,H00469,Mitophagy,nt06536
Progressive external ophthalmoplegia,H01118,Base excision repair,nt06504
Progressive external ophthalmoplegia,H01118,DNA replication,nt06509
Thrombocytopenia (THC),H00978,Apoptosis,nt06524
Parkinson disease,H00057,Dopamine and serotonin metabolism,nt06028
Parkinson disease,H00057,Parkinson disease,nt06463
Parkinson disease,H00057,Pathways of neurodegeneration,nt06466
Parkinson disease,H00057,Unfolded protein response,nt06534
Parkinson disease,H00057,Efferocytosis,nt06535
Parkinson disease,H00057,Mitophagy,nt06536
Parkinsonian syndrome,H01600,Mitophagy,nt06536
Parkinson disease,H00057,Dopamine and serotonin metabolism,nt06028
Parkinson disease,H00057,Parkinson disease,nt06463
Parkinson disease,H00057,Pathways of neurodegeneration,nt06466
Parkinson disease,H00057,Unfolded protein response,nt06534
Parkinson disease,H00057,Efferocytosis,nt06535
Parkinson disease,H00057,Mitophagy,nt06536
Parkinsonian syndrome,H01600,Mitophagy,nt06536
Parkinson disease,H00057,Dopamine and serotonin metabolism,nt06028
Parkinson disease,H00057,Parkinson disease,nt06463
Parkinson disease,H00057,Pathways of neurodegeneration,nt06466
Parkinson disease,H00057,Unfolded protein response,nt06534
Parkinson disease,H00057,Efferocytosis,nt06535
Parkinson disease,H00057,Mitophagy,nt06536
Parkinsonian syndrome,H01600,Mitophagy,nt06536
Parkinson disease,H00057,Dopamine and serotonin metabolism,nt06028
Parkinson disease,H00057,Parkinson disease,nt06463
Parkinson disease,H00057,Pathways of neurodegeneration,nt06466
Parkinson disease,H00057,Unfolded protein response,nt06534
Parkinson disease,H00057,Efferocytosis,nt06535
Parkinson disease,H00057,Mitophagy,nt06536
Parkinsonian syndrome,H01600,Mitophagy,nt06536
Parkinson disease,H00057,Dopamine and serotonin metabolism,nt06028
Parkinson disease,H00057,Parkinson disease,nt06463
Parkinson disease,H00057,Pathways of neurodegeneration,nt06466
Parkinson disease,H00057,Unfolded protein response,nt06534
Parkinson disease,H00057,Efferocytosis,nt06535
Parkinson disease,H00057,Mitophagy,nt06536
Parkinsonian syndrome,H01600,Mitophagy,nt06536
Parkinson disease,H00057,Dopamine and serotonin metabolism,nt06028
Parkinson disease,H00057,Parkinson disease,nt06463
Parkinson disease,H00057,Pathways of neurodegeneration,nt06466
Parkinson disease,H00057,Unfolded protein response,nt06534
Parkinson disease,H00057,Efferocytosis,nt06535
Parkinson disease,H00057,Mitophagy,nt06536
Parkinsonian syndrome,H01600,Mitophagy,nt06536
Myocardial infarction,H01730,Coagulation cascade,nt06514
Parkinson disease,H00057,Dopamine and serotonin metabolism,nt06028
Parkinson disease,H00057,Parkinson disease,nt06463
Parkinson disease,H00057,Pathways of neurodegeneration,nt06466
Parkinson disease,H00057,Unfolded protein response,nt06534
Parkinson disease,H00057,Efferocytosis,nt06535
Parkinson disease,H00057,Mitophagy,nt06536
Hereditary spastic paraplegia,H00266,Cytoskeleton in muscle cells,nt06539
Parkinson disease,H00057,Dopamine and serotonin metabolism,nt06028
Parkinson disease,H00057,Parkinson disease,nt06463
Parkinson disease,H00057,Pathways of neurodegeneration,nt06466
Parkinson disease,H00057,Unfolded protein response,nt06534
Parkinson disease,H00057,Efferocytosis,nt06535
Parkinson disease,H00057,Mitophagy,nt06536
Parkinsonian syndrome,H01600,Mitophagy,nt06536
Parkinson disease,H00057,Dopamine and serotonin metabolism,nt06028
Parkinson disease,H00057,Parkinson disease,nt06463
Parkinson disease,H00057,Pathways of neurodegeneration,nt06466
Parkinson disease,H00057,Unfolded protein response,nt06534
Parkinson disease,H00057,Efferocytosis,nt06535
Parkinson disease,H00057,Mitophagy,nt06536
Parkinsonian syndrome,H01600,Mitophagy,nt06536
Parkinson disease,H00057,Dopamine and serotonin metabolism,nt06028
Parkinson disease,H00057,Parkinson disease,nt06463
Parkinson disease,H00057,Pathways of neurodegeneration,nt06466
Parkinson disease,H00057,Unfolded protein response,nt06534
Parkinson disease,H00057,Efferocytosis,nt06535
Parkinson disease,H00057,Mitophagy,nt06536
Parkinsonian syndrome,H01600,Mitophagy,nt06536
Parkinson disease,H00057,Dopamine and serotonin metabolism,nt06028
